location,latitude,longitude,road_section_type,vehicles_12h,traffic_weight,survey_period,data_year,data_source,source_url,data_status
Chikli Square,21.1623,79.14106,Intersection,61330,0.511,"12-hour typical working day, 08:00-20:00",2024,Project iRASTE Nagpur Detailed Report 2024,https://www.inai.ai/img/docs/iraste-nagpur/iRASATE-Detailed-Report.pdf,verified_survey
"Maruti Seva Square, Amravati Road",21.15271,79.02068,Intersection,52541,0.434,"12-hour typical working day, 08:00-20:00",2024,Project iRASTE Nagpur Detailed Report 2024,https://www.inai.ai/img/docs/iraste-nagpur/iRASATE-Detailed-Report.pdf,verified_survey
Sitabuldi Square,21.1458,79.0882,Additional location - traffic data to be verified,,,,,Location retained from earlier prototype; traffic values NOT verified,,location_only_verify_traffic
Variety Square,21.1455,79.0898,Additional location - traffic data to be verified,,,,,Location retained from earlier prototype; traffic values NOT verified,,location_only_verify_traffic
Morris College Square,21.1467,79.0847,Additional location - traffic data to be verified,,,,,Location retained from earlier prototype; traffic values NOT verified,,location_only_verify_traffic
Shankar Nagar Square,21.131,79.065,Additional location - traffic data to be verified,,,,,Location retained from earlier prototype; traffic values NOT verified,,location_only_verify_traffic
Law College Square,21.1318,79.0578,Additional location - traffic data to be verified,,,,,Location retained from earlier prototype; traffic values NOT verified,,location_only_verify_traffic
Ajni Square,21.1237,79.087,Additional location - traffic data to be verified,,,,,Location retained from earlier prototype; traffic values NOT verified,,location_only_verify_traffic
Manish Nagar Square,21.1119,79.0837,Additional location - traffic data to be verified,,,,,Location retained from earlier prototype; traffic values NOT verified,,location_only_verify_traffic
Wardha Road - Chhatrapati Square,21.1056,79.0846,Additional location - traffic data to be verified,,,,,Location retained from earlier prototype; traffic values NOT verified,,location_only_verify_traffic
Airport Square,21.0922,79.0498,Additional location - traffic data to be verified,,,,,Location retained from earlier prototype; traffic values NOT verified,,location_only_verify_traffic
Sadar Square,21.166,79.0808,Additional location - traffic data to be verified,,,,,Location retained from earlier prototype; traffic values NOT verified,,location_only_verify_traffic
Kamptee Road Square,21.1805,79.1025,Additional location - traffic data to be verified,,,,,Location retained from earlier prototype; traffic values NOT verified,,location_only_verify_traffic
Automotive Square,21.1725,79.104,Additional location - traffic data to be verified,,,,,Location retained from earlier prototype; traffic values NOT verified,,location_only_verify_traffic
Medical Square,21.127,79.0908,Additional location - traffic data to be verified,,,,,Location retained from earlier prototype; traffic values NOT verified,,location_only_verify_traffic
Dighori Square,21.111,79.105,Additional location - traffic data to be verified,,,,,Location retained from earlier prototype; traffic values NOT verified,,location_only_verify_traffic
Hingna T-Point,21.1065,78.9955,Additional location - traffic data to be verified,,,,,Location retained from earlier prototype; traffic values NOT verified,,location_only_verify_traffic
